t[yr],M_FUV,M_NUV,M_u,M_g,M_r
2.16E7,1.6208876,1.6413423,1.7790915,1.7407994,1.743926
2.17E7,1.6272225,1.64719,1.7834468,1.7437131,1.7463625
2.18E7,1.6335575,1.6530376,1.787802,1.7466268,1.748799
2.19E7,1.6398538,1.6588557,1.7921296,1.7495311,1.7512501
2.2E7,1.6460131,1.6645687,1.7963586,1.7524022,1.7537526
2.21E7,1.6521723,1.6702818,1.8005876,1.7552732,1.756255
2.22E7,1.6583315,1.6759948,1.8048166,1.7581443,1.7587575
2.23E7,1.6644907,1.6817079,1.8090456,1.7610154,1.76126
2.24E7,1.67065,1.6874209,1.8132746,1.7638864,1.7637625
2.25E7,1.6768092,1.693134,1.8175036,1.7667575,1.766265
2.26E7,1.6829684,1.6988471,1.8217326,1.7696286,1.7687675
2.27E7,1.6891276,1.7045601,1.8259617,1.7724997,1.77127
2.28E7,1.6952869,1.7102732,1.8301907,1.7753707,1.7737725
2.29E7,1.7014461,1.7159862,1.8344197,1.7782418,1.776275
2.3E7,1.7075835,1.7216871,1.8386714,1.7811062,1.7788447
2.31E7,1.7137188,1.7273868,1.8429253,1.78397,1.7814212
2.32E7,1.7198541,1.7330865,1.8471792,1.7868337,1.7839976
2.33E7,1.7259893,1.7387862,1.8514331,1.7896975,1.7865741
2.34E7,1.7321246,1.7444859,1.855687,1.7925612,1.7891505
2.35E7,1.7382599,1.7501856,1.859941,1.795425,1.791727
2.36E7,1.7443952,1.7558852,1.8641949,1.7982887,1.7943034
2.37E7,1.7505304,1.7615849,1.8684488,1.8011525,1.7968799
2.38E7,1.7566657,1.7672846,1.8727027,1.8040162,1.7994563
2.39E7,1.762801,1.7729843,1.8769566,1.80688,1.8020328
2.4E7,1.768913,1.7786642,1.8812041,1.8097364,1.8046152
2.41E7,1.7748548,1.7841992,1.885404,1.8125393,1.8072412
2.42E7,1.7807965,1.7897343,1.8896039,1.8153422,1.8098673
2.43E7,1.7867383,1.7952693,1.8938037,1.818145,1.8124933
2.44E7,1.79268,1.8008043,1.8980036,1.8209479,1.8151193
2.45E7,1.7986218,1.8063393,1.9022035,1.8237508,1.8177454
2.46E7,1.8045635,1.8118743,1.9064034,1.8265536,1.8203714
2.47E7,1.8105053,1.8174094,1.9106033,1.8293565,1.8229974
2.48E7,1.816447,1.8229444,1.9148032,1.8321594,1.8256235
2.49E7,1.8223888,1.8284794,1.9190031,1.8349623,1.8282495
2.5E7,1.8283305,1.8340144,1.923203,1.8377651,1.8308755
2.51E7,1.8342723,1.8395495,1.9274029,1.840568,1.8335016
2.52E7,1.8400874,1.8449863,1.9315735,1.8433171,1.8361829
2.53E7,1.8458728,1.8504001,1.9357374,1.8460536,1.8388771
2.54E7,1.8516583,1.855814,1.9399012,1.8487901,1.8415714
2.55E7,1.8574438,1.8612278,1.9440651,1.8515265,1.8442656
2.56E7,1.8632292,1.8666416,1.9482289,1.854263,1.8469599
2.57E7,1.8690147,1.8720555,1.9523928,1.8569995,1.8496541
2.58E7,1.8748001,1.8774693,1.9565566,1.859736,1.8523484
2.59E7,1.8805856,1.8828832,1.9607204,1.8624725,1.8550426
2.6E7,1.8863711,1.888297,1.9648843,1.8652089,1.8577369
2.61E7,1.8921565,1.8937108,1.9690481,1.8679454,1.8604311
2.62E7,1.897942,1.8991247,1.973212,1.8706819,1.8631254
2.63E7,1.9037274,1.9045385,1.9773758,1.8734184,1.8658196
2.64E7,1.9093891,1.9098446,1.981564,1.8761153,1.8685936
2.65E7,1.9150469,1.9151473,1.9857529,1.8788111,1.8713701
2.66E7,1.9207048,1.92045,1.9899418,1.8815068,1.8741466
2.67E7,1.9263626,1.9257527,1.9941307,1.8842026,1.876923
2.68E7,1.9320205,1.9310554,1.9983196,1.8868983,1.8796995
2.69E7,1.9376783,1.9363581,2.0025085,1.8895941,1.882476
2.7E7,1.9433362,1.9416609,2.0066974,1.8922898,1.8852524
2.71E7,1.948994,1.9469636,2.0108863,1.8949856,1.8880289
2.72E7,1.9546519,1.9522663,2.0150752,1.8976813,1.8908053
2.73E7,1.9603097,1.957569,2.0192641,1.9003771,1.8935818
2.74E7,1.9659676,1.9628717,2.023453,1.9030728,1.8963583
2.75E7,1.9716254,1.9681745,2.0276419,1.9057686,1.8991347
2.76E7,1.9771044,1.9733213,2.031784,1.9084124,1.9019756
2.77E7,1.9824541,1.9783555,2.0358923,1.9110187,1.9048631
2.78E7,1.9878038,1.9833897,2.0400006,1.9136249,1.9077505
2.79E7,1.9931535,1.9884239,2.0441089,1.9162312,1.910638
2.8E7,1.9985032,1.9934581,2.0482172,1.9188374,1.9135254
2.81E7,2.0038528,1.9984923,2.0523255,1.9214437,1.9164129
2.82E7,2.0092025,2.0035265,2.0564338,1.9240499,1.9193003
2.83E7,2.0145522,2.0085607,2.0605421,1.9266562,1.9221878
2.84E7,2.0199019,2.0135949,2.0646504,1.9292625,1.9250753
2.85E7,2.0252516,2.018629,2.0687587,1.9318687,1.9279627
2.86E7,2.0306013,2.0236632,2.072867,1.934475,1.9308502
2.87E7,2.0359509,2.0286974,2.0769753,1.9370812,1.9337376
2.88E7,2.0413006,2.0337316,2.0810836,1.9396875,1.9366251
2.89E7,2.0466503,2.0387658,2.0851919,1.9422937,1.9395125
2.9E7,2.052,2.0438,2.0893002,1.9449,1.9424
2.91E7,2.0570901,2.0485701,2.0932702,1.94757,1.9456601
2.92E7,2.0621802,2.0533402,2.0972403,1.9502401,1.9489201
2.93E7,2.0672703,2.0581102,2.1012103,1.9529101,1.9521802
2.94E7,2.0723604,2.0628803,2.1051804,1.9555802,1.9554402
2.95E7,2.0774504,2.0676504,2.1091504,1.9582502,1.9587003
2.96E7,2.0825405,2.0724205,2.1131205,1.9609203,1.9619603
2.97E7,2.0876306,2.0771906,2.1170905,1.9635903,1.9652204
2.98E7,2.0927207,2.0819607,2.1210606,1.9662604,1.9684805
2.99E7,2.0978108,2.0867308,2.1250306,1.9689304,1.9717405
3.0E7,2.1029008,2.0915007,2.1290006,1.9716004,1.9750008
3.01E7,2.1071706,2.0953906,2.1321304,1.9740303,1.9794406
3.02E7,2.1114404,2.0992804,2.1352603,1.9764602,1.9838805
3.03E7,2.1157102,2.1031703,2.1383902,1.9788901,1.9883203
3.04E7,2.1199801,2.1070602,2.1415201,1.98132,1.9927601
3.05E7,2.1242499,2.11095,2.1446499,1.9837499,1.9972
3.06E7,2.1285197,2.1148399,2.1477798,1.9861799,2.0016398
3.07E7,2.1327896,2.1187298,2.1509097,1.9886098,2.0060796
3.08E7,2.1370594,2.1226196,2.1540396,1.9910397,2.0105195
3.09E7,2.1413292,2.1265095,2.1571694,1.9934696,2.0149593
3.1E7,2.1455991,2.1303993,2.1602993,1.9958995,2.0193991
3.11E7,2.1496892,2.1341394,2.1634993,1.9984795,2.0230993
3.12E7,2.1537792,2.1378795,2.1666994,2.0010595,2.0267994
3.13E7,2.1578693,2.1416195,2.1698994,2.0036396,2.0304994
3.14E7,2.1619594,2.1453596,2.1730995,2.0062196,2.0341995
3.15E7,2.1660494,2.1490997,2.1762995,2.0087997,2.0378995
3.16E7,2.1701395,2.1528397,2.1794996,2.0113797,2.0415996
3.17E7,2.1742295,2.1565798,2.1826996,2.0139598,2.0452996
3.18E7,2.1783196,2.1603198,2.1858997,2.0165399,2.0489997
3.19E7,2.1824097,2.1640599,2.1890997,2.0191199,2.0526997
3.2E7,2.1864997,2.1677999,2.1922997,2.0217,2.0563997
3.21E7,2.1903397,2.1713099,2.1950998,2.02269,2.0567798
3.22E7,2.1941798,2.1748199,2.1978998,2.02368,2.0571598
3.23E7,2.1980198,2.1783299,2.2006998,2.02467,2.0575399
3.24E7,2.2018598,2.1818399,2.2034998,2.02566,2.0579199
3.25E7,2.2056998,2.1853499,2.2062998,2.02665,2.0582999
3.26E7,2.2095398,2.1888599,2.2090998,2.02764,2.0586799
3.27E7,2.2133798,2.1923699,2.2118998,2.02863,2.0590599
3.28E7,2.2172198,2.1958799,2.2146998,2.02962,2.0594399
3.29E7,2.2210598,2.1993899,2.2174999,2.03061,2.05982
3.3E7,2.2248998,2.2028998,2.2202999,2.0316,2.0602
3.31E7,2.2285398,2.2062199,2.2230099,2.0325,2.06059
3.32E7,2.2321798,2.2095399,2.2257199,2.0334,2.06098
3.33E7,2.2358198,2.2128599,2.2284299,2.0343,2.06137
3.34E7,2.2394598,2.2161799,2.2311399,2.0352,2.06176
3.35E7,2.2430998,2.2194999,2.2338499,2.0361,2.06215
3.36E7,2.2467398,2.2228199,2.2365598,2.0369999,2.06254
3.37E7,2.2503798,2.2261399,2.2392698,2.0378999,2.06293
3.38E7,2.2540198,2.22946,2.2419798,2.0387999,2.06332
3.39E7,2.2576598,2.23278,2.2446898,2.0396999,2.06371
3.4E7,2.2612998,2.2361,2.2473998,2.0405999,2.0641
3.41E7,2.2649998,2.23948,2.2501999,2.0415499,2.06459
3.42E7,2.2686998,2.24286,2.2529999,2.0425,2.06508
3.43E7,2.2723999,2.24624,2.2558,2.04345,2.06557
3.44E7,2.2760999,2.24962,2.2586,2.0444,2.06606
3.45E7,2.2797999,2.2530001,2.2614001,2.04535,2.06655
3.46E7,2.2835,2.2563801,2.2642001,2.0463,2.06704
3.47E7,2.2872,2.2597601,2.2670002,2.04725,2.06753
3.48E7,2.2909001,2.2631401,2.2698002,2.0482,2.06802
3.49E7,2.2946001,2.2665201,2.2726003,2.04915,2.06851
3.5E7,2.2983001,2.2699001,2.2754003,2.0501,2.069
3.51E7,2.30202,2.27329,2.2782102,2.05109,2.0696
3.52E7,2.3057398,2.2766798,2.28102,2.0520799,2.0702
3.53E7,2.3094596,2.2800697,2.2838299,2.0530699,2.0707999
3.54E7,2.3131795,2.2834595,2.2866397,2.0540599,2.0713999
3.55E7,2.3168993,2.2868494,2.2894496,2.0550498,2.0719999
3.56E7,2.3206191,2.2902392,2.2922594,2.0560398,2.0725999
3.57E7,2.324339,2.2936291,2.2950693,2.0570297,2.0731998
3.58E7,2.3280588,2.2970189,2.2978791,2.0580197,2.0737998
3.59E7,2.3317786,2.3004087,2.300689,2.0590096,2.0743998
